,Dollar_per_MT
Dollar_per_MT,1
BDTI TD3,0.858060288
Earnings,0.839817439
Time Charter 1 year ($/day),0.591240347
F.Des_EAF,-0.512465288
F.Origin_EAF,-0.547347472
F.Origin_MED/BS,-0.526331439
